Country Name,Year,GDP
Европа и Центральная Азия (только развивающиеся страны),2023,27264.9968559641
Европа и Центральная Азия (все уровни дохода),2015,31017.8996567657
Европа и Центральная Азия (все уровни дохода),2016,32424.4655559132
Европа и Центральная Азия (все уровни дохода),2017,34152.2874060484
Европа и Центральная Азия (все уровни дохода),2018,35853.3424388769
Европа и Центральная Азия (все уровни дохода),2019,38462.4301984675
Европа и Центральная Азия (все уровни дохода),2020,37926.6436369922
Европа и Центральная Азия (все уровни дохода),2021,42260.571386932
Европа и Центральная Азия (все уровни дохода),2022,47017.2062456233
Европа и Центральная Азия (все уровни дохода),2023,48817.6625241728
Ecuador,2015,10877.7507461388
Ecuador,2016,10881.4890706732
Ecuador,2017,11793.4797426944
Ecuador,2018,12186.8847218273
Ecuador,2019,12543.0147078172
Ecuador,2020,11526.8011806884
Ecuador,2021,13539.7108484794
Ecuador,2022,15280.096372305
Ecuador,2023,16062.0163648341
"Egypt, Arab Rep.",2015,10903.3368231185
"Egypt, Arab Rep.",2016,10665.6676499685
"Egypt, Arab Rep.",2017,11124.7351098149
"Egypt, Arab Rep.",2018,12329.2446781436
"Egypt, Arab Rep.",2019,13363.732696323
"Egypt, Arab Rep.",2020,15231.865417764
"Egypt, Arab Rep.",2021,15579.0160861551
"Egypt, Arab Rep.",2022,17526.8017030166
"Egypt, Arab Rep.",2023,18524.5572197031
Spain,2015,35220.9762033929
Spain,2016,37591.7431945534
Spain,2017,39806.4420431184
Spain,2018,41001.3588703988
Spain,2019,44027.4932307597
Spain,2020,39322.6743086402
Spain,2021,44277.8225378494
Spain,2022,50496.6017551546
Spain,2023,53229.9220217947
Estonia,2015,29720.5911161676
Estonia,2016,31947.7769107437
Estonia,2017,34506.6486942505
Estonia,2018,37120.9879761679
Estonia,2019,40586.3784378889
Estonia,2020,40672.1340402132
Estonia,2021,44251.5374983456
Estonia,2022,47802.0073086126
Estonia,2023,46790.2700170266
Ethiopia,2015,1632.61818006837
Ethiopia,2016,1857.54893125842
Ethiopia,2017,2004.74759745913
Ethiopia,2018,2095.31797038653
Ethiopia,2019,2242.44459025146
Ethiopia,2020,2406.78942878966
Ethiopia,2021,2588.41296931036
Ethiopia,2022,2844.90683529484
Ethiopia,2023,3058.12804387633
Finland,2015,42269.2212218196
Finland,2016,44562.4011072069
Finland,2017,47234.8528600939
Finland,2018,49248.6775395868
Finland,2019,52276.1115723994
Finland,2020,53296.5792798852
Finland,2021,56790.3766177689
Finland,2022,61344.6222226547
Finland,2023,61734.459805757
Fiji,2015,11733.7429658024
Fiji,2016,11984.5635759745
Fiji,2017,12819.563484721
Fiji,2018,13225.9194522037
Fiji,2019,13219.697552636
Fiji,2020,11235.2760832988
Fiji,2021,10685.1969806618
Fiji,2022,13672.2356371837
Fiji,2023,15152.1376449166
France,2015,40916.10535718
France,2016,42880.2351355429
France,2017,44469.1458856805
France,2018,46381.0590629455
France,2019,51130.472314058
France,2020,49481.8044309652
France,2021,52517.3354905857
France,2022,56181.0058137403
France,2023,58317.828030698
Faroe Islands,2015,53682.1715306077
Faroe Islands,2016,54318.3039329688
Faroe Islands,2017,56413.9834851915
Faroe Islands,2018,58930.8202815502
Faroe Islands,2019,62219.8390292479
Faroe Islands,2020,61643.8149298644
Faroe Islands,2021,67757.7773227559
Faroe Islands,2022,74282.3069948875
Faroe Islands,2023,78103.483399586
"Micronesia, Fed. Sts.",2015,3346.80950593815
"Micronesia, Fed. Sts.",2016,3383.79701205211
"Micronesia, Fed. Sts.",2017,3459.86474185405
"Micronesia, Fed. Sts.",2018,3525.34462623042
"Micronesia, Fed. Sts.",2019,3717.18067032727
"Micronesia, Fed. Sts.",2020,3671.61362363374
"Micronesia, Fed. Sts.",2021,3921.72503036883
"Micronesia, Fed. Sts.",2022,4150.40933444852
"Micronesia, Fed. Sts.",2023,4313.62760101578
Gabon,2015,14306.4340768252
Gabon,2016,13997.7352841911
Gabon,2017,14796.6286374171
Gabon,2018,15432.0430535353
Gabon,2019,15949.6373739622
Gabon,2020,14477.1308291745
Gabon,2021,18523.5798032193
Gabon,2022,19992.5570642927
Gabon,2023,20757.0723768678
United Kingdom,2015,42508.2708340719
